3.13187, 0.150366
4, 0.2
4.85858, 0.141421
4.8, 2.5
4.85858, 4.85858
2.5, 4.8
0.141421, 4.85858
0.2, 4
0.150366, 3.13187
0.414348, 3.14719
0.828262, 3.09099
1.21479, 2.93272
1.60001, 2.7713
1.93241, 2.51836
2.26272, 2.26272
2.51836, 1.93241
2.7713, 1.60001
2.93272, 1.21479
3.09099, 0.828262
3.14719, 0.414348
3.13187, 0.150366
3.14719, 0.414348
3.12872, 0.550366
4.84842, 0.550366
4.83849, 0.950366
3.04099, 0.950366
2.93272, 1.21479
2.87591, 1.35037
4.82855, 1.35037
4.81862, 1.75037
2.65689, 1.75037
2.51836, 1.93241
2.34968, 2.15037
4.80868, 2.15037
4.8, 2.5
4.80125, 2.55037
1.89036, 2.55037
1.60001, 2.7713
1.17269, 2.95037
4.81119, 2.95037
4.82112, 3.35037
0.162858, 3.35037
0.185727, 3.75037
4.83105, 3.75037
4.84099, 4.15037
0.189741, 4.15037
0.16245, 4.55037
4.85092, 4.55037
4.85712, 4.8
0.145418, 4.8
